BallotName,BallotOrder,LocalityName,Percentage,PoliticalParty,PrecinctName,Votes
Terry R. McAuliffe,2.0,Bath County,20.63%,Democratic,501 - HEALING SPRINGS (06),72.0
Princess L. Blanding,3.0,Bath County,0.29%,Liberation,501 - HEALING SPRINGS (06),1.0
Write In,2147483647.0,Bath County,0.00%,Write-In,501 - HEALING SPRINGS (06),0.0
Glenn A. Youngkin,1.0,Bedford County,0.00%,Republican,# AB - Central Absentee Precinct (05),0.0
Terry R. McAuliffe,2.0,Bedford County,0.00%,Democratic,# AB - Central Absentee Precinct (05),0.0
Princess L. Blanding,3.0,Bedford County,0.00%,Liberation,# AB - Central Absentee Precinct (05),0.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,# AB - Central Absentee Precinct (05),0.0
Glenn A. Youngkin,1.0,Bedford County,0.00%,Republican,# AB - Central Absentee Precinct (06),0.0
Terry R. McAuliffe,2.0,Bedford County,0.00%,Democratic,# AB - Central Absentee Precinct (06),0.0
Princess L. Blanding,3.0,Bedford County,0.00%,Liberation,# AB - Central Absentee Precinct (06),0.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,# AB - Central Absentee Precinct (06),0.0
Glenn A. Youngkin,1.0,Bedford County,0.00%,Republican,# EV - Central Absentee Precinct (05),0.0
Terry R. McAuliffe,2.0,Bedford County,0.00%,Democratic,# EV - Central Absentee Precinct (05),0.0
Princess L. Blanding,3.0,Bedford County,0.00%,Liberation,# EV - Central Absentee Precinct (05),0.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,# EV - Central Absentee Precinct (05),0.0
Glenn A. Youngkin,1.0,Bedford County,0.00%,Republican,# EV - Central Absentee Precinct (06),0.0
Terry R. McAuliffe,2.0,Bedford County,0.00%,Democratic,# EV - Central Absentee Precinct (06),0.0
Princess L. Blanding,3.0,Bedford County,0.00%,Liberation,# EV - Central Absentee Precinct (06),0.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,# EV - Central Absentee Precinct (06),0.0
Glenn A. Youngkin,1.0,Bedford County,0.00%,Republican,# PE - Central Absentee Precinct (05),0.0
Terry R. McAuliffe,2.0,Bedford County,0.00%,Democratic,# PE - Central Absentee Precinct (05),0.0
Princess L. Blanding,3.0,Bedford County,0.00%,Liberation,# PE - Central Absentee Precinct (05),0.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,# PE - Central Absentee Precinct (05),0.0
Glenn A. Youngkin,1.0,Bedford County,0.00%,Republican,# PE - Central Absentee Precinct (06),0.0
Terry R. McAuliffe,2.0,Bedford County,0.00%,Democratic,# PE - Central Absentee Precinct (06),0.0
Princess L. Blanding,3.0,Bedford County,0.00%,Liberation,# PE - Central Absentee Precinct (06),0.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,# PE - Central Absentee Precinct (06),0.0
Glenn A. Youngkin,1.0,Bedford County,0.00%,Republican,## Provisional (05),0.0
Terry R. McAuliffe,2.0,Bedford County,0.00%,Democratic,## Provisional (05),0.0
Princess L. Blanding,3.0,Bedford County,0.00%,Liberation,## Provisional (05),0.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,## Provisional (05),0.0
Glenn A. Youngkin,1.0,Bedford County,0.00%,Republican,## Provisional (06),0.0
Terry R. McAuliffe,2.0,Bedford County,0.00%,Democratic,## Provisional (06),0.0
Princess L. Blanding,3.0,Bedford County,0.00%,Liberation,## Provisional (06),0.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,## Provisional (06),0.0
Glenn A. Youngkin,1.0,Bedford County,85.92%,Republican,101 - GOODVIEW ELEM SCHOOL (05),1123.0
Terry R. McAuliffe,2.0,Bedford County,13.62%,Democratic,101 - GOODVIEW ELEM SCHOOL (05),178.0
Princess L. Blanding,3.0,Bedford County,0.38%,Liberation,101 - GOODVIEW ELEM SCHOOL (05),5.0
Write In,2147483647.0,Bedford County,0.08%,Write-In,101 - GOODVIEW ELEM SCHOOL (05),1.0
Glenn A. Youngkin,1.0,Bedford County,82.23%,Republican,102 - HARDY VOL FIRE CO (05),509.0
Terry R. McAuliffe,2.0,Bedford County,17.12%,Democratic,102 - HARDY VOL FIRE CO (05),106.0
Princess L. Blanding,3.0,Bedford County,0.32%,Liberation,102 - HARDY VOL FIRE CO (05),2.0
Write In,2147483647.0,Bedford County,0.32%,Write-In,102 - HARDY VOL FIRE CO (05),2.0
Glenn A. Youngkin,1.0,Bedford County,83.52%,Republican,103 - CHAMBLISSBURG BAPTIST CHURCH (05),760.0
Terry R. McAuliffe,2.0,Bedford County,15.38%,Democratic,103 - CHAMBLISSBURG BAPTIST CHURCH (05),140.0
Princess L. Blanding,3.0,Bedford County,0.99%,Liberation,103 - CHAMBLISSBURG BAPTIST CHURCH (05),9.0
Write In,2147483647.0,Bedford County,0.11%,Write-In,103 - CHAMBLISSBURG BAPTIST CHURCH (05),1.0
Glenn A. Youngkin,1.0,Bedford County,85.09%,Republican,104 - STEWARTSVILLE RESCUE SQUAD (05),736.0
Terry R. McAuliffe,2.0,Bedford County,14.57%,Democratic,104 - STEWARTSVILLE RESCUE SQUAD (05),126.0
Princess L. Blanding,3.0,Bedford County,0.23%,Liberation,104 - STEWARTSVILLE RESCUE SQUAD (05),2.0
Write In,2147483647.0,Bedford County,0.12%,Write-In,104 - STEWARTSVILLE RESCUE SQUAD (05),1.0
Glenn A. Youngkin,1.0,Bedford County,84.71%,Republican,201 - BEDFORD CHRISTIAN CHURCH (05),338.0
Terry R. McAuliffe,2.0,Bedford County,14.29%,Democratic,201 - BEDFORD CHRISTIAN CHURCH (05),57.0
Princess L. Blanding,3.0,Bedford County,1.00%,Liberation,201 - BEDFORD CHRISTIAN CHURCH (05),4.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,201 - BEDFORD CHRISTIAN CHURCH (05),0.0
Glenn A. Youngkin,1.0,Bedford County,86.60%,Republican,202 - STAUNTON RIVER HIGH SCHOOL (05),601.0
Terry R. McAuliffe,2.0,Bedford County,13.11%,Democratic,202 - STAUNTON RIVER HIGH SCHOOL (05),91.0
Princess L. Blanding,3.0,Bedford County,0.29%,Liberation,202 - STAUNTON RIVER HIGH SCHOOL (05),2.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,202 - STAUNTON RIVER HIGH SCHOOL (05),0.0
Glenn A. Youngkin,1.0,Bedford County,83.86%,Republican,203 - MONETA ELEM SCHOOL (05),1008.0
Terry R. McAuliffe,2.0,Bedford County,15.81%,Democratic,203 - MONETA ELEM SCHOOL (05),190.0
Princess L. Blanding,3.0,Bedford County,0.25%,Liberation,203 - MONETA ELEM SCHOOL (05),3.0
Write In,2147483647.0,Bedford County,0.08%,Write-In,203 - MONETA ELEM SCHOOL (05),1.0
Glenn A. Youngkin,1.0,Bedford County,85.28%,Republican,204 - Quaker BAPTIST CHURCH (05),365.0
Terry R. McAuliffe,2.0,Bedford County,13.79%,Democratic,204 - Quaker BAPTIST CHURCH (05),59.0
Princess L. Blanding,3.0,Bedford County,0.93%,Liberation,204 - Quaker BAPTIST CHURCH (05),4.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,204 - Quaker BAPTIST CHURCH (05),0.0
Glenn A. Youngkin,1.0,Bedford County,81.11%,Republican,205 - SAUNDERS VOL FIRE CO (05),850.0
Terry R. McAuliffe,2.0,Bedford County,18.42%,Democratic,205 - SAUNDERS VOL FIRE CO (05),193.0
Princess L. Blanding,3.0,Bedford County,0.38%,Liberation,205 - SAUNDERS VOL FIRE CO (05),4.0
Write In,2147483647.0,Bedford County,0.10%,Write-In,205 - SAUNDERS VOL FIRE CO (05),1.0
Glenn A. Youngkin,1.0,Bedford County,87.56%,Republican,301 - NEW LONDON ACADEMY (06),1105.0
Terry R. McAuliffe,2.0,Bedford County,11.97%,Democratic,301 - NEW LONDON ACADEMY (06),151.0
Princess L. Blanding,3.0,Bedford County,0.32%,Liberation,301 - NEW LONDON ACADEMY (06),4.0
Write In,2147483647.0,Bedford County,0.16%,Write-In,301 - NEW LONDON ACADEMY (06),2.0
Glenn A. Youngkin,1.0,Bedford County,84.44%,Republican,302 - BEDFORD REGIONAL WATER AUTH (05),559.0
Terry R. McAuliffe,2.0,Bedford County,14.95%,Democratic,302 - BEDFORD REGIONAL WATER AUTH (05),99.0
Princess L. Blanding,3.0,Bedford County,0.30%,Liberation,302 - BEDFORD REGIONAL WATER AUTH (05),2.0
Write In,2147483647.0,Bedford County,0.30%,Write-In,302 - BEDFORD REGIONAL WATER AUTH (05),2.0
Glenn A. Youngkin,1.0,Bedford County,87.20%,Republican,303 - BETHESDA UNITED METHODIST CHURCH (05),477.0
Terry R. McAuliffe,2.0,Bedford County,12.43%,Democratic,303 - BETHESDA UNITED METHODIST CHURCH (05),68.0
Princess L. Blanding,3.0,Bedford County,0.37%,Liberation,303 - BETHESDA UNITED METHODIST CHURCH (05),2.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,303 - BETHESDA UNITED METHODIST CHURCH (05),0.0
Glenn A. Youngkin,1.0,Bedford County,82.83%,Republican,304 - RIVERSIDE CHURCH (06),463.0
Terry R. McAuliffe,2.0,Bedford County,16.99%,Democratic,304 - RIVERSIDE CHURCH (06),95.0
Princess L. Blanding,3.0,Bedford County,0.18%,Liberation,304 - RIVERSIDE CHURCH (06),1.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,304 - RIVERSIDE CHURCH (06),0.0
Glenn A. Youngkin,1.0,Bedford County,86.42%,Republican,305 - HUDDLESTON ELEM SCHOOL (05),401.0
Terry R. McAuliffe,2.0,Bedford County,13.15%,Democratic,305 - HUDDLESTON ELEM SCHOOL (05),61.0
Princess L. Blanding,3.0,Bedford County,0.22%,Liberation,305 - HUDDLESTON ELEM SCHOOL (05),1.0
Write In,2147483647.0,Bedford County,0.22%,Write-In,305 - HUDDLESTON ELEM SCHOOL (05),1.0
Glenn A. Youngkin,1.0,Bedford County,90.38%,Republican,306 - FOREST FIRE STATION #2 (06),658.0
Terry R. McAuliffe,2.0,Bedford County,9.34%,Democratic,306 - FOREST FIRE STATION #2 (06),68.0
Princess L. Blanding,3.0,Bedford County,0.27%,Liberation,306 - FOREST FIRE STATION #2 (06),2.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,306 - FOREST FIRE STATION #2 (06),0.0
Glenn A. Youngkin,1.0,Bedford County,83.46%,Republican,401 - FOREST ELEMENTARY SCHOOL (06),1211.0
Terry R. McAuliffe,2.0,Bedford County,16.13%,Democratic,401 - FOREST ELEMENTARY SCHOOL (06),234.0
Princess L. Blanding,3.0,Bedford County,0.34%,Liberation,401 - FOREST ELEMENTARY SCHOOL (06),5.0
Write In,2147483647.0,Bedford County,0.07%,Write-In,401 - FOREST ELEMENTARY SCHOOL (06),1.0
Glenn A. Youngkin,1.0,Bedford County,78.36%,Republican,402 - THOMAS JEFFERSON ELEM SCHOOL (06),601.0
Terry R. McAuliffe,2.0,Bedford County,20.60%,Democratic,402 - THOMAS JEFFERSON ELEM SCHOOL (06),158.0
Princess L. Blanding,3.0,Bedford County,1.04%,Liberation,402 - THOMAS JEFFERSON ELEM SCHOOL (06),8.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,402 - THOMAS JEFFERSON ELEM SCHOOL (06),0.0
Glenn A. Youngkin,1.0,Bedford County,81.56%,Republican,403 - KNIGHTS OF COLUMBUS BLDG (06),1367.0
Terry R. McAuliffe,2.0,Bedford County,18.02%,Democratic,403 - KNIGHTS OF COLUMBUS BLDG (06),302.0
Princess L. Blanding,3.0,Bedford County,0.36%,Liberation,403 - KNIGHTS OF COLUMBUS BLDG (06),6.0
Write In,2147483647.0,Bedford County,0.06%,Write-In,403 - KNIGHTS OF COLUMBUS BLDG (06),1.0
Glenn A. Youngkin,1.0,Bedford County,86.84%,Republican,404 - FOREST RECREATION CENTER (06),1003.0
Terry R. McAuliffe,2.0,Bedford County,12.81%,Democratic,404 - FOREST RECREATION CENTER (06),148.0
Princess L. Blanding,3.0,Bedford County,0.17%,Liberation,404 - FOREST RECREATION CENTER (06),2.0
Write In,2147483647.0,Bedford County,0.17%,Write-In,404 - FOREST RECREATION CENTER (06),2.0
Glenn A. Youngkin,1.0,Bedford County,83.65%,Republican,502 - BIG ISLAND ELEM SCHOOL (06),312.0
Terry R. McAuliffe,2.0,Bedford County,15.55%,Democratic,502 - BIG ISLAND ELEM SCHOOL (06),58.0
Princess L. Blanding,3.0,Bedford County,0.54%,Liberation,502 - BIG ISLAND ELEM SCHOOL (06),2.0
Write In,2147483647.0,Bedford County,0.27%,Write-In,502 - BIG ISLAND ELEM SCHOOL (06),1.0
Glenn A. Youngkin,1.0,Bedford County,0.00%,Republican,503 - SEDALIA CENTER (06),0.0
Terry R. McAuliffe,2.0,Bedford County,0.00%,Democratic,503 - SEDALIA CENTER (06),0.0
Princess L. Blanding,3.0,Bedford County,0.00%,Liberation,503 - SEDALIA CENTER (06),0.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,503 - SEDALIA CENTER (06),0.0
Glenn A. Youngkin,1.0,Bedford County,86.56%,Republican,504 - SUCK SPRINGS BAPTIST CHURCH (06),567.0
Terry R. McAuliffe,2.0,Bedford County,13.44%,Democratic,504 - SUCK SPRINGS BAPTIST CHURCH (06),88.0
Princess L. Blanding,3.0,Bedford County,0.00%,Liberation,504 - SUCK SPRINGS BAPTIST CHURCH (06),0.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,504 - SUCK SPRINGS BAPTIST CHURCH (06),0.0
Glenn A. Youngkin,1.0,Bedford County,73.66%,Republican,505 - BOONSBORO ELEMENTARY SCHOOL (06),948.0
Terry R. McAuliffe,2.0,Bedford County,25.87%,Democratic,505 - BOONSBORO ELEMENTARY SCHOOL (06),333.0
Princess L. Blanding,3.0,Bedford County,0.47%,Liberation,505 - BOONSBORO ELEMENTARY SCHOOL (06),6.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,505 - BOONSBORO ELEMENTARY SCHOOL (06),0.0
Glenn A. Youngkin,1.0,Bedford County,82.75%,Republican,506 - BOONSBORO RURITAN CLUB (06),1550.0
Terry R. McAuliffe,2.0,Bedford County,17.19%,Democratic,506 - BOONSBORO RURITAN CLUB (06),322.0
Princess L. Blanding,3.0,Bedford County,0.05%,Liberation,506 - BOONSBORO RURITAN CLUB (06),1.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,506 - BOONSBORO RURITAN CLUB (06),0.0
Glenn A. Youngkin,1.0,Bedford County,86.69%,Republican,601 - MONTVALE ELEM SCHOOL (06),775.0
Terry R. McAuliffe,2.0,Bedford County,12.98%,Democratic,601 - MONTVALE ELEM SCHOOL (06),116.0
Princess L. Blanding,3.0,Bedford County,0.22%,Liberation,601 - MONTVALE ELEM SCHOOL (06),2.0
Write In,2147483647.0,Bedford County,0.11%,Write-In,601 - MONTVALE ELEM SCHOOL (06),1.0
Glenn A. Youngkin,1.0,Bedford County,86.31%,Republican,602 - SHADY GROVE FIRE DEPARTMENT (05),851.0
Terry R. McAuliffe,2.0,Bedford County,13.39%,Democratic,602 - SHADY GROVE FIRE DEPARTMENT (05),132.0
Princess L. Blanding,3.0,Bedford County,0.30%,Liberation,602 - SHADY GROVE FIRE DEPARTMENT (05),3.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,602 - SHADY GROVE FIRE DEPARTMENT (05),0.0
Glenn A. Youngkin,1.0,Bedford County,85.89%,Republican,603 - THAXTON BAPTIST CHURCH #1 (05),207.0
Terry R. McAuliffe,2.0,Bedford County,14.11%,Democratic,603 - THAXTON BAPTIST CHURCH #1 (05),34.0
Princess L. Blanding,3.0,Bedford County,0.00%,Liberation,603 - THAXTON BAPTIST CHURCH #1 (05),0.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,603 - THAXTON BAPTIST CHURCH #1 (05),0.0
Glenn A. Youngkin,1.0,Bedford County,80.42%,Republican,604 - BEDFORD WELCOME CENTER (05),813.0
Terry R. McAuliffe,2.0,Bedford County,19.09%,Democratic,604 - BEDFORD WELCOME CENTER (05),193.0
Princess L. Blanding,3.0,Bedford County,0.49%,Liberation,604 - BEDFORD WELCOME CENTER (05),5.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,604 - BEDFORD WELCOME CENTER (05),0.0
Glenn A. Youngkin,1.0,Bedford County,88.14%,Republican,701 - GOODE VOL RESCUE SQUAD (05),1197.0
Terry R. McAuliffe,2.0,Bedford County,11.56%,Democratic,701 - GOODE VOL RESCUE SQUAD (05),157.0
Princess L. Blanding,3.0,Bedford County,0.15%,Liberation,701 - GOODE VOL RESCUE SQUAD (05),2.0
Write In,2147483647.0,Bedford County,0.15%,Write-In,701 - GOODE VOL RESCUE SQUAD (05),2.0
Glenn A. Youngkin,1.0,Bedford County,87.13%,Republican,702 - LIBERTY HIGH SCHOOL (05),474.0
Terry R. McAuliffe,2.0,Bedford County,12.87%,Democratic,702 - LIBERTY HIGH SCHOOL (05),70.0
Princess L. Blanding,3.0,Bedford County,0.00%,Liberation,702 - LIBERTY HIGH SCHOOL (05),0.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,702 - LIBERTY HIGH SCHOOL (05),0.0
Glenn A. Youngkin,1.0,Bedford County,87.43%,Republican,703 - THAXTON BAPTIST CHURCH #2 (05),438.0
Terry R. McAuliffe,2.0,Bedford County,12.18%,Democratic,703 - THAXTON BAPTIST CHURCH #2 (05),61.0
Princess L. Blanding,3.0,Bedford County,0.40%,Liberation,703 - THAXTON BAPTIST CHURCH #2 (05),2.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,703 - THAXTON BAPTIST CHURCH #2 (05),0.0
Glenn A. Youngkin,1.0,Bedford County,74.80%,Republican,704 - BEDFORD CENTRAL LIBRARY (05),736.0
Terry R. McAuliffe,2.0,Bedford County,24.70%,Democratic,704 - BEDFORD CENTRAL LIBRARY (05),243.0
Princess L. Blanding,3.0,Bedford County,0.51%,Liberation,704 - BEDFORD CENTRAL LIBRARY (05),5.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,704 - BEDFORD CENTRAL LIBRARY (05),0.0
Glenn A. Youngkin,1.0,Bland County,42.11%,Republican,# AB - Central Absentee Precinct (09),48.0
Terry R. McAuliffe,2.0,Bland County,55.26%,Democratic,# AB - Central Absentee Precinct (09),63.0
Princess L. Blanding,3.0,Bland County,2.63%,Liberation,# AB - Central Absentee Precinct (09),3.0
Write In,2147483647.0,Bland County,0.00%,Write-In,# AB - Central Absentee Precinct (09),0.0
Glenn A. Youngkin,1.0,Bland County,82.83%,Republican,# EV - Central Absentee Precinct (09),386.0
Terry R. McAuliffe,2.0,Bland County,16.74%,Democratic,# EV - Central Absentee Precinct (09),78.0
Princess L. Blanding,3.0,Bland County,0.43%,Liberation,# EV - Central Absentee Precinct (09),2.0
Write In,2147483647.0,Bland County,0.00%,Write-In,# EV - Central Absentee Precinct (09),0.0
Glenn A. Youngkin,1.0,Bland County,0.00%,Republican,# PE - Central Absentee Precinct (09),0.0
Terry R. McAuliffe,2.0,Bland County,0.00%,Democratic,# PE - Central Absentee Precinct (09),0.0
Princess L. Blanding,3.0,Bland County,0.00%,Liberation,# PE - Central Absentee Precinct (09),0.0
Write In,2147483647.0,Bland County,0.00%,Write-In,# PE - Central Absentee Precinct (09),0.0
Glenn A. Youngkin,1.0,Bland County,0.00%,Republican,## Provisional (09),0.0
Terry R. McAuliffe,2.0,Bland County,0.00%,Democratic,## Provisional (09),0.0
Princess L. Blanding,3.0,Bland County,0.00%,Liberation,## Provisional (09),0.0
Write In,2147483647.0,Bland County,0.00%,Write-In,## Provisional (09),0.0
Glenn A. Youngkin,1.0,Bland County,87.65%,Republican,101 - BASTIAN (09),213.0
Terry R. McAuliffe,2.0,Bland County,12.35%,Democratic,101 - BASTIAN (09),30.0
Princess L. Blanding,3.0,Bland County,0.00%,Liberation,101 - BASTIAN (09),0.0
Write In,2147483647.0,Bland County,0.00%,Write-In,101 - BASTIAN (09),0.0
Glenn A. Youngkin,1.0,Bland County,87.41%,Republican,102 - CERES (09),257.0
Terry R. McAuliffe,2.0,Bland County,12.24%,Democratic,102 - CERES (09),36.0
Princess L. Blanding,3.0,Bland County,0.34%,Liberation,102 - CERES (09),1.0
Write In,2147483647.0,Bland County,0.00%,Write-In,102 - CERES (09),0.0
Glenn A. Youngkin,1.0,Bland County,82.02%,Republican,201 - DAVIS (09),73.0
Terry R. McAuliffe,2.0,Bland County,17.98%,Democratic,201 - DAVIS (09),16.0
Princess L. Blanding,3.0,Bland County,0.00%,Liberation,201 - DAVIS (09),0.0
Write In,2147483647.0,Bland County,0.00%,Write-In,201 - DAVIS (09),0.0
Glenn A. Youngkin,1.0,Bland County,89.54%,Republican,202 - SEDDON (09),428.0
Terry R. McAuliffe,2.0,Bland County,10.25%,Democratic,202 - SEDDON (09),49.0
Princess L. Blanding,3.0,Bland County,0.21%,Liberation,202 - SEDDON (09),1.0
Write In,2147483647.0,Bland County,0.00%,Write-In,202 - SEDDON (09),0.0
Glenn A. Youngkin,1.0,Bland County,92.33%,Republican,301 - HOLLYBROOK (09),265.0
Terry R. McAuliffe,2.0,Bland County,6.97%,Democratic,301 - HOLLYBROOK (09),20.0
Princess L. Blanding,3.0,Bland County,0.70%,Liberation,301 - HOLLYBROOK (09),2.0
Write In,2147483647.0,Bland County,0.00%,Write-In,301 - HOLLYBROOK (09),0.0
Glenn A. Youngkin,1.0,Bland County,91.28%,Republican,302 - MECHANICSBURG (09),136.0
Terry R. McAuliffe,2.0,Bland County,8.72%,Democratic,302 - MECHANICSBURG (09),13.0
Princess L. Blanding,3.0,Bland County,0.00%,Liberation,302 - MECHANICSBURG (09),0.0
Write In,2147483647.0,Bland County,0.00%,Write-In,302 - MECHANICSBURG (09),0.0
Glenn A. Youngkin,1.0,Bland County,88.76%,Republican,401 - ROCKY GAP (09),466.0
Terry R. McAuliffe,2.0,Bland County,11.24%,Democratic,401 - ROCKY GAP (09),59.0
Princess L. Blanding,3.0,Bland County,0.00%,Liberation,401 - ROCKY GAP (09),0.0
Write In,2147483647.0,Bland County,0.00%,Write-In,401 - ROCKY GAP (09),0.0
Glenn A. Youngkin,1.0,Botetourt County,43.50%,Republican,# AB - Central Absentee Precinct (06),435.0
Terry R. McAuliffe,2.0,Botetourt County,55.10%,Democratic,# AB - Central Absentee Precinct (06),551.0
Princess L. Blanding,3.0,Botetourt County,1.20%,Liberation,# AB - Central Absentee Precinct (06),12.0
Write In,2147483647.0,Botetourt County,0.20%,Write-In,# AB - Central Absentee Precinct (06),2.0
Glenn A. Youngkin,1.0,Botetourt County,69.13%,Republican,# EV - Central Absentee Precinct (06),3182.0
Terry R. McAuliffe,2.0,Botetourt County,30.72%,Democratic,# EV - Central Absentee Precinct (06),1414.0
Princess L. Blanding,3.0,Botetourt County,0.11%,Liberation,# EV - Central Absentee Precinct (06),5.0
Write In,2147483647.0,Botetourt County,0.04%,Write-In,# EV - Central Absentee Precinct (06),2.0
Glenn A. Youngkin,1.0,Botetourt County,0.00%,Republican,# PE - Central Absentee Precinct (06),0.0
Terry R. McAuliffe,2.0,Botetourt County,0.00%,Democratic,# PE - Central Absentee Precinct (06),0.0
Princess L. Blanding,3.0,Botetourt County,0.00%,Liberation,# PE - Central Absentee Precinct (06),0.0
Write In,2147483647.0,Botetourt County,0.00%,Write-In,# PE - Central Absentee Precinct (06),0.0
Glenn A. Youngkin,1.0,Botetourt County,0.00%,Republican,## Provisional (06),0.0
Terry R. McAuliffe,2.0,Botetourt County,0.00%,Democratic,## Provisional (06),0.0
Princess L. Blanding,3.0,Botetourt County,0.00%,Liberation,## Provisional (06),0.0
Write In,2147483647.0,Botetourt County,0.00%,Write-In,## Provisional (06),0.0
Glenn A. Youngkin,1.0,Botetourt County,77.21%,Republican,101 - DALEVILLE (06),969.0
Terry R. McAuliffe,2.0,Botetourt County,22.39%,Democratic,101 - DALEVILLE (06),281.0
Princess L. Blanding,3.0,Botetourt County,0.32%,Liberation,101 - DALEVILLE (06),4.0
Write In,2147483647.0,Botetourt County,0.08%,Write-In,101 - DALEVILLE (06),1.0
Glenn A. Youngkin,1.0,Botetourt County,83.81%,Republican,102 - GREENFIELD (06),1082.0
Terry R. McAuliffe,2.0,Botetourt County,15.72%,Democratic,102 - GREENFIELD (06),203.0
Princess L. Blanding,3.0,Botetourt County,0.39%,Liberation,102 - GREENFIELD (06),5.0
Write In,2147483647.0,Botetourt County,0.08%,Write-In,102 - GREENFIELD (06),1.0
Glenn A. Youngkin,1.0,Botetourt County,82.67%,Republican,201 - BLUE RIDGE (06),1059.0
Terry R. McAuliffe,2.0,Botetourt County,16.94%,Democratic,201 - BLUE RIDGE (06),217.0
Princess L. Blanding,3.0,Botetourt County,0.39%,Liberation,201 - BLUE RIDGE (06),5.0
Write In,2147483647.0,Botetourt County,0.00%,Write-In,201 - BLUE RIDGE (06),0.0
Glenn A. Youngkin,1.0,Botetourt County,81.50%,Republican,202 - RAINBOW FOREST (06),1031.0
Terry R. McAuliffe,2.0,Botetourt County,18.18%,Democratic,202 - RAINBOW FOREST (06),230.0
Princess L. Blanding,3.0,Botetourt County,0.32%,Liberation,202 - RAINBOW FOREST (06),4.0
Write In,2147483647.0,Botetourt County,0.00%,Write-In,202 - RAINBOW FOREST (06),0.0
Glenn A. Youngkin,1.0,Botetourt County,85.40%,Republican,301 - BUCHANAN (06),936.0
Terry R. McAuliffe,2.0,Botetourt County,14.32%,Democratic,301 - BUCHANAN (06),157.0
Princess L. Blanding,3.0,Botetourt County,0.27%,Liberation,301 - BUCHANAN (06),3.0
Write In,2147483647.0,Botetourt County,0.00%,Write-In,301 - BUCHANAN (06),0.0
Glenn A. Youngkin,1.0,Botetourt County,82.73%,Republican,302 - MILL CREEK (06),848.0
Terry R. McAuliffe,2.0,Botetourt County,16.49%,Democratic,302 - MILL CREEK (06),169.0
Princess L. Blanding,3.0,Botetourt County,0.68%,Liberation,302 - MILL CREEK (06),7.0
Write In,2147483647.0,Botetourt County,0.10%,Write-In,302 - MILL CREEK (06),1.0
Glenn A. Youngkin,1.0,Botetourt County,85.26%,Republican,403 - EAGLE ROCK (06),642.0
Terry R. McAuliffe,2.0,Botetourt County,13.81%,Democratic,403 - EAGLE ROCK (06),104.0
Princess L. Blanding,3.0,Botetourt County,0.93%,Liberation,403 - EAGLE ROCK (06),7.0
Write In,2147483647.0,Botetourt County,0.00%,Write-In,403 - EAGLE ROCK (06),0.0
Glenn A. Youngkin,1.0,Botetourt County,84.48%,Republican,406 - FINCASTLE (06),1083.0
Terry R. McAuliffe,2.0,Botetourt County,15.37%,Democratic,406 - FINCASTLE (06),197.0
Princess L. Blanding,3.0,Botetourt County,0.16%,Liberation,406 - FINCASTLE (06),2.0
Write In,2147483647.0,Botetourt County,0.00%,Write-In,406 - FINCASTLE (06),0.0
Glenn A. Youngkin,1.0,Botetourt County,82.13%,Republican,501 - TROUTVILLE (06),671.0
Terry R. McAuliffe,2.0,Botetourt County,17.63%,Democratic,501 - TROUTVILLE (06),144.0
Princess L. Blanding,3.0,Botetourt County,0.12%,Liberation,501 - TROUTVILLE (06),1.0
Write In,2147483647.0,Botetourt County,0.12%,Write-In,501 - TROUTVILLE (06),1.0
Glenn A. Youngkin,1.0,Botetourt County,77.93%,Republican,502 - CLOVERDALE (06),1102.0
Terry R. McAuliffe,2.0,Botetourt County,21.64%,Democratic,502 - CLOVERDALE (06),306.0
Princess L. Blanding,3.0,Botetourt County,0.42%,Liberation,502 - CLOVERDALE (06),6.0
Write In,2147483647.0,Botetourt County,0.00%,Write-In,502 - CLOVERDALE (06),0.0
Glenn A. Youngkin,1.0,Brunswick County,22.79%,Republican,# AB - Central Absentee Precinct (05),93.0
Terry R. McAuliffe,2.0,Brunswick County,75.74%,Democratic,# AB - Central Absentee Precinct (05),309.0
