BallotName,BallotOrder,LocalityName,Percentage,PoliticalParty,PrecinctName,Votes
Write In,2147483647.0,Augusta County,0.24%,Write-In,801 - DOOMS (06),2.0
Joseph R. Biden,1.0,Augusta County,15.91%,Democratic,802 - FISHERSVILLE (06),169.0
Donald J. Trump,2.0,Augusta County,81.45%,Republican,802 - FISHERSVILLE (06),865.0
Jo Jorgensen,3.0,Augusta County,2.26%,Libertarian,802 - FISHERSVILLE (06),24.0
Write In,2147483647.0,Augusta County,0.38%,Write-In,802 - FISHERSVILLE (06),4.0
Joseph R. Biden,1.0,Augusta County,23.02%,Democratic,803 - WILSON (06),215.0
Donald J. Trump,2.0,Augusta County,74.52%,Republican,803 - WILSON (06),696.0
Jo Jorgensen,3.0,Augusta County,2.36%,Libertarian,803 - WILSON (06),22.0
Write In,2147483647.0,Augusta County,0.11%,Write-In,803 - WILSON (06),1.0
Joseph R. Biden,1.0,Bath County,46.92%,Democratic,# AB - Central Absentee Precinct (06),358.0
Donald J. Trump,2.0,Bath County,52.29%,Republican,# AB - Central Absentee Precinct (06),399.0
Jo Jorgensen,3.0,Bath County,0.52%,Libertarian,# AB - Central Absentee Precinct (06),4.0
Write In,2147483647.0,Bath County,0.26%,Write-In,# AB - Central Absentee Precinct (06),2.0
Joseph R. Biden,1.0,Bath County,0.00%,Democratic,## Provisional (06),0.0
Donald J. Trump,2.0,Bath County,100.00%,Republican,## Provisional (06),4.0
Jo Jorgensen,3.0,Bath County,0.00%,Libertarian,## Provisional (06),0.0
Write In,2147483647.0,Bath County,0.00%,Write-In,## Provisional (06),0.0
Joseph R. Biden,1.0,Bath County,17.11%,Democratic,101 - WARM SPRINGS (06),45.0
Donald J. Trump,2.0,Bath County,82.13%,Republican,101 - WARM SPRINGS (06),216.0
Jo Jorgensen,3.0,Bath County,0.38%,Libertarian,101 - WARM SPRINGS (06),1.0
Write In,2147483647.0,Bath County,0.38%,Write-In,101 - WARM SPRINGS (06),1.0
Joseph R. Biden,1.0,Bath County,14.93%,Democratic,102 - MOUNTAIN GROVE (06),10.0
Donald J. Trump,2.0,Bath County,85.07%,Republican,102 - MOUNTAIN GROVE (06),57.0
Jo Jorgensen,3.0,Bath County,0.00%,Libertarian,102 - MOUNTAIN GROVE (06),0.0
Write In,2147483647.0,Bath County,0.00%,Write-In,102 - MOUNTAIN GROVE (06),0.0
Joseph R. Biden,1.0,Bath County,26.89%,Democratic,201 - HOT SPRINGS (06),64.0
Donald J. Trump,2.0,Bath County,72.27%,Republican,201 - HOT SPRINGS (06),172.0
Jo Jorgensen,3.0,Bath County,0.84%,Libertarian,201 - HOT SPRINGS (06),2.0
Write In,2147483647.0,Bath County,0.00%,Write-In,201 - HOT SPRINGS (06),0.0
Joseph R. Biden,1.0,Bath County,8.67%,Democratic,301 - FAIRVIEW (06),26.0
Donald J. Trump,2.0,Bath County,90.33%,Republican,301 - FAIRVIEW (06),271.0
Jo Jorgensen,3.0,Bath County,0.67%,Libertarian,301 - FAIRVIEW (06),2.0
Write In,2147483647.0,Bath County,0.33%,Write-In,301 - FAIRVIEW (06),1.0
Joseph R. Biden,1.0,Bath County,5.32%,Democratic,302 - BURNSVILLE (06),5.0
Donald J. Trump,2.0,Bath County,93.62%,Republican,302 - BURNSVILLE (06),88.0
Jo Jorgensen,3.0,Bath County,1.06%,Libertarian,302 - BURNSVILLE (06),1.0
Write In,2147483647.0,Bath County,0.00%,Write-In,302 - BURNSVILLE (06),0.0
Joseph R. Biden,1.0,Bath County,16.51%,Democratic,401 - MILLBORO (06),70.0
Donald J. Trump,2.0,Bath County,82.78%,Republican,401 - MILLBORO (06),351.0
Jo Jorgensen,3.0,Bath County,0.71%,Libertarian,401 - MILLBORO (06),3.0
Write In,2147483647.0,Bath County,0.00%,Write-In,401 - MILLBORO (06),0.0
Joseph R. Biden,1.0,Bath County,19.54%,Democratic,501 - HEALING SPRINGS (06),68.0
Donald J. Trump,2.0,Bath County,79.31%,Republican,501 - HEALING SPRINGS (06),276.0
Jo Jorgensen,3.0,Bath County,0.86%,Libertarian,501 - HEALING SPRINGS (06),3.0
Write In,2147483647.0,Bath County,0.29%,Write-In,501 - HEALING SPRINGS (06),1.0
Joseph R. Biden,1.0,Bedford County,35.24%,Democratic,# AB - Central Absentee Precinct (05),4624.0
Donald J. Trump,2.0,Bedford County,63.35%,Republican,# AB - Central Absentee Precinct (05),8314.0
Jo Jorgensen,3.0,Bedford County,1.15%,Libertarian,# AB - Central Absentee Precinct (05),151.0
Write In,2147483647.0,Bedford County,0.26%,Write-In,# AB - Central Absentee Precinct (05),34.0
Joseph R. Biden,1.0,Bedford County,36.50%,Democratic,# AB - Central Absentee Precinct (06),4081.0
Donald J. Trump,2.0,Bedford County,61.66%,Republican,# AB - Central Absentee Precinct (06),6894.0
Jo Jorgensen,3.0,Bedford County,1.36%,Libertarian,# AB - Central Absentee Precinct (06),152.0
Write In,2147483647.0,Bedford County,0.47%,Write-In,# AB - Central Absentee Precinct (06),53.0
Joseph R. Biden,1.0,Bedford County,50.00%,Democratic,## Provisional (05),66.0
Donald J. Trump,2.0,Bedford County,46.21%,Republican,## Provisional (05),61.0
Jo Jorgensen,3.0,Bedford County,3.79%,Libertarian,## Provisional (05),5.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,## Provisional (05),0.0
Joseph R. Biden,1.0,Bedford County,45.74%,Democratic,## Provisional (06),59.0
Donald J. Trump,2.0,Bedford County,48.84%,Republican,## Provisional (06),63.0
Jo Jorgensen,3.0,Bedford County,5.43%,Libertarian,## Provisional (06),7.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,## Provisional (06),0.0
Joseph R. Biden,1.0,Bedford County,11.85%,Democratic,101 - GOODVIEW ELEM SCHOOL (05),147.0
Donald J. Trump,2.0,Bedford County,86.22%,Republican,101 - GOODVIEW ELEM SCHOOL (05),1070.0
Jo Jorgensen,3.0,Bedford County,1.61%,Libertarian,101 - GOODVIEW ELEM SCHOOL (05),20.0
Write In,2147483647.0,Bedford County,0.32%,Write-In,101 - GOODVIEW ELEM SCHOOL (05),4.0
Joseph R. Biden,1.0,Bedford County,17.76%,Democratic,102 - HARDY VOL FIRE CO (05),116.0
Donald J. Trump,2.0,Bedford County,81.01%,Republican,102 - HARDY VOL FIRE CO (05),529.0
Jo Jorgensen,3.0,Bedford County,1.23%,Libertarian,102 - HARDY VOL FIRE CO (05),8.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,102 - HARDY VOL FIRE CO (05),0.0
Joseph R. Biden,1.0,Bedford County,10.55%,Democratic,103 - CHAMBLISSBURG BAPTIST CHURCH (05),96.0
Donald J. Trump,2.0,Bedford County,87.58%,Republican,103 - CHAMBLISSBURG BAPTIST CHURCH (05),797.0
Jo Jorgensen,3.0,Bedford County,1.76%,Libertarian,103 - CHAMBLISSBURG BAPTIST CHURCH (05),16.0
Write In,2147483647.0,Bedford County,0.11%,Write-In,103 - CHAMBLISSBURG BAPTIST CHURCH (05),1.0
Joseph R. Biden,1.0,Bedford County,14.56%,Democratic,104 - STEWARTSVILLE RESCUE SQUAD (05),121.0
Donald J. Trump,2.0,Bedford County,83.75%,Republican,104 - STEWARTSVILLE RESCUE SQUAD (05),696.0
Jo Jorgensen,3.0,Bedford County,1.56%,Libertarian,104 - STEWARTSVILLE RESCUE SQUAD (05),13.0
Write In,2147483647.0,Bedford County,0.12%,Write-In,104 - STEWARTSVILLE RESCUE SQUAD (05),1.0
Joseph R. Biden,1.0,Bedford County,14.55%,Democratic,201 - BEDFORD CHRISTIAN CHURCH (05),56.0
Donald J. Trump,2.0,Bedford County,82.34%,Republican,201 - BEDFORD CHRISTIAN CHURCH (05),317.0
Jo Jorgensen,3.0,Bedford County,2.86%,Libertarian,201 - BEDFORD CHRISTIAN CHURCH (05),11.0
Write In,2147483647.0,Bedford County,0.26%,Write-In,201 - BEDFORD CHRISTIAN CHURCH (05),1.0
Joseph R. Biden,1.0,Bedford County,13.31%,Democratic,202 - STAUNTON RIVER HIGH SCHOOL (05),86.0
Donald J. Trump,2.0,Bedford County,85.14%,Republican,202 - STAUNTON RIVER HIGH SCHOOL (05),550.0
Jo Jorgensen,3.0,Bedford County,1.55%,Libertarian,202 - STAUNTON RIVER HIGH SCHOOL (05),10.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,202 - STAUNTON RIVER HIGH SCHOOL (05),0.0
Joseph R. Biden,1.0,Bedford County,13.34%,Democratic,203 - MONETA ELEM SCHOOL (05),139.0
Donald J. Trump,2.0,Bedford County,84.93%,Republican,203 - MONETA ELEM SCHOOL (05),885.0
Jo Jorgensen,3.0,Bedford County,1.44%,Libertarian,203 - MONETA ELEM SCHOOL (05),15.0
Write In,2147483647.0,Bedford County,0.29%,Write-In,203 - MONETA ELEM SCHOOL (05),3.0
Joseph R. Biden,1.0,Bedford County,15.02%,Democratic,204 - Quaker BAPTIST CHURCH (05),64.0
Donald J. Trump,2.0,Bedford County,83.80%,Republican,204 - Quaker BAPTIST CHURCH (05),357.0
Jo Jorgensen,3.0,Bedford County,0.47%,Libertarian,204 - Quaker BAPTIST CHURCH (05),2.0
Write In,2147483647.0,Bedford County,0.70%,Write-In,204 - Quaker BAPTIST CHURCH (05),3.0
Joseph R. Biden,1.0,Bedford County,13.69%,Democratic,205 - SAUNDERS VOL FIRE CO (05),125.0
Donald J. Trump,2.0,Bedford County,85.21%,Republican,205 - SAUNDERS VOL FIRE CO (05),778.0
Jo Jorgensen,3.0,Bedford County,0.77%,Libertarian,205 - SAUNDERS VOL FIRE CO (05),7.0
Write In,2147483647.0,Bedford County,0.33%,Write-In,205 - SAUNDERS VOL FIRE CO (05),3.0
Joseph R. Biden,1.0,Bedford County,11.46%,Democratic,301 - NEW LONDON ACADEMY (06),99.0
Donald J. Trump,2.0,Bedford County,86.00%,Republican,301 - NEW LONDON ACADEMY (06),743.0
Jo Jorgensen,3.0,Bedford County,2.08%,Libertarian,301 - NEW LONDON ACADEMY (06),18.0
Write In,2147483647.0,Bedford County,0.46%,Write-In,301 - NEW LONDON ACADEMY (06),4.0
Joseph R. Biden,1.0,Bedford County,11.71%,Democratic,302 - BEDFORD REGIONAL WATER AUTH (05),59.0
Donald J. Trump,2.0,Bedford County,86.51%,Republican,302 - BEDFORD REGIONAL WATER AUTH (05),436.0
Jo Jorgensen,3.0,Bedford County,1.19%,Libertarian,302 - BEDFORD REGIONAL WATER AUTH (05),6.0
Write In,2147483647.0,Bedford County,0.60%,Write-In,302 - BEDFORD REGIONAL WATER AUTH (05),3.0
Joseph R. Biden,1.0,Bedford County,10.67%,Democratic,303 - BETHESDA UNITED METHODIST CHURCH (05),59.0
Donald J. Trump,2.0,Bedford County,88.43%,Republican,303 - BETHESDA UNITED METHODIST CHURCH (05),489.0
Jo Jorgensen,3.0,Bedford County,0.90%,Libertarian,303 - BETHESDA UNITED METHODIST CHURCH (05),5.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,303 - BETHESDA UNITED METHODIST CHURCH (05),0.0
Joseph R. Biden,1.0,Bedford County,11.75%,Democratic,304 - RIVERSIDE CHURCH (06),55.0
Donald J. Trump,2.0,Bedford County,83.76%,Republican,304 - RIVERSIDE CHURCH (06),392.0
Jo Jorgensen,3.0,Bedford County,3.21%,Libertarian,304 - RIVERSIDE CHURCH (06),15.0
Write In,2147483647.0,Bedford County,1.28%,Write-In,304 - RIVERSIDE CHURCH (06),6.0
Joseph R. Biden,1.0,Bedford County,12.42%,Democratic,305 - HUDDLESTON ELEM SCHOOL (05),61.0
Donald J. Trump,2.0,Bedford County,86.76%,Republican,305 - HUDDLESTON ELEM SCHOOL (05),426.0
Jo Jorgensen,3.0,Bedford County,0.81%,Libertarian,305 - HUDDLESTON ELEM SCHOOL (05),4.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,305 - HUDDLESTON ELEM SCHOOL (05),0.0
Joseph R. Biden,1.0,Bedford County,9.16%,Democratic,306 - FOREST FIRE STATION #2 (06),48.0
Donald J. Trump,2.0,Bedford County,89.31%,Republican,306 - FOREST FIRE STATION #2 (06),468.0
Jo Jorgensen,3.0,Bedford County,1.34%,Libertarian,306 - FOREST FIRE STATION #2 (06),7.0
Write In,2147483647.0,Bedford County,0.19%,Write-In,306 - FOREST FIRE STATION #2 (06),1.0
Joseph R. Biden,1.0,Bedford County,14.23%,Democratic,401 - FOREST ELEMENTARY SCHOOL (06),150.0
Donald J. Trump,2.0,Bedford County,83.40%,Republican,401 - FOREST ELEMENTARY SCHOOL (06),879.0
Jo Jorgensen,3.0,Bedford County,1.99%,Libertarian,401 - FOREST ELEMENTARY SCHOOL (06),21.0
Write In,2147483647.0,Bedford County,0.38%,Write-In,401 - FOREST ELEMENTARY SCHOOL (06),4.0
Joseph R. Biden,1.0,Bedford County,18.27%,Democratic,402 - THOMAS JEFFERSON ELEM SCHOOL (06),112.0
Donald J. Trump,2.0,Bedford County,77.00%,Republican,402 - THOMAS JEFFERSON ELEM SCHOOL (06),472.0
Jo Jorgensen,3.0,Bedford County,3.43%,Libertarian,402 - THOMAS JEFFERSON ELEM SCHOOL (06),21.0
Write In,2147483647.0,Bedford County,1.31%,Write-In,402 - THOMAS JEFFERSON ELEM SCHOOL (06),8.0
Joseph R. Biden,1.0,Bedford County,16.09%,Democratic,403 - KNIGHTS OF COLUMBUS BLDG (06),205.0
Donald J. Trump,2.0,Bedford County,81.16%,Republican,403 - KNIGHTS OF COLUMBUS BLDG (06),1034.0
Jo Jorgensen,3.0,Bedford County,1.96%,Libertarian,403 - KNIGHTS OF COLUMBUS BLDG (06),25.0
Write In,2147483647.0,Bedford County,0.78%,Write-In,403 - KNIGHTS OF COLUMBUS BLDG (06),10.0
Joseph R. Biden,1.0,Bedford County,11.67%,Democratic,404 - FOREST RECREATION CENTER (06),109.0
Donald J. Trump,2.0,Bedford County,86.83%,Republican,404 - FOREST RECREATION CENTER (06),811.0
Jo Jorgensen,3.0,Bedford County,0.86%,Libertarian,404 - FOREST RECREATION CENTER (06),8.0
Write In,2147483647.0,Bedford County,0.64%,Write-In,404 - FOREST RECREATION CENTER (06),6.0
Joseph R. Biden,1.0,Bedford County,12.47%,Democratic,502 - BIG ISLAND ELEM SCHOOL (06),48.0
Donald J. Trump,2.0,Bedford County,85.71%,Republican,502 - BIG ISLAND ELEM SCHOOL (06),330.0
Jo Jorgensen,3.0,Bedford County,1.56%,Libertarian,502 - BIG ISLAND ELEM SCHOOL (06),6.0
Write In,2147483647.0,Bedford County,0.26%,Write-In,502 - BIG ISLAND ELEM SCHOOL (06),1.0
Joseph R. Biden,1.0,Bedford County,10.09%,Democratic,503 - SEDALIA CENTER (06),46.0
Donald J. Trump,2.0,Bedford County,88.16%,Republican,503 - SEDALIA CENTER (06),402.0
Jo Jorgensen,3.0,Bedford County,1.54%,Libertarian,503 - SEDALIA CENTER (06),7.0
Write In,2147483647.0,Bedford County,0.22%,Write-In,503 - SEDALIA CENTER (06),1.0
Joseph R. Biden,1.0,Bedford County,9.14%,Democratic,504 - SUCK SPRINGS BAPTIST CHURCH (06),54.0
Donald J. Trump,2.0,Bedford County,88.49%,Republican,504 - SUCK SPRINGS BAPTIST CHURCH (06),523.0
Jo Jorgensen,3.0,Bedford County,1.52%,Libertarian,504 - SUCK SPRINGS BAPTIST CHURCH (06),9.0
Write In,2147483647.0,Bedford County,0.85%,Write-In,504 - SUCK SPRINGS BAPTIST CHURCH (06),5.0
Joseph R. Biden,1.0,Bedford County,22.35%,Democratic,505 - BOONSBORO ELEMENTARY SCHOOL (06),245.0
Donald J. Trump,2.0,Bedford County,74.91%,Republican,505 - BOONSBORO ELEMENTARY SCHOOL (06),821.0
Jo Jorgensen,3.0,Bedford County,2.10%,Libertarian,505 - BOONSBORO ELEMENTARY SCHOOL (06),23.0
Write In,2147483647.0,Bedford County,0.64%,Write-In,505 - BOONSBORO ELEMENTARY SCHOOL (06),7.0
Joseph R. Biden,1.0,Bedford County,14.88%,Democratic,506 - BOONSBORO RURITAN CLUB (06),230.0
Donald J. Trump,2.0,Bedford County,82.47%,Republican,506 - BOONSBORO RURITAN CLUB (06),1275.0
Jo Jorgensen,3.0,Bedford County,2.01%,Libertarian,506 - BOONSBORO RURITAN CLUB (06),31.0
Write In,2147483647.0,Bedford County,0.65%,Write-In,506 - BOONSBORO RURITAN CLUB (06),10.0
Joseph R. Biden,1.0,Bedford County,14.24%,Democratic,601 - MONTVALE ELEM SCHOOL (06),124.0
Donald J. Trump,2.0,Bedford County,84.85%,Republican,601 - MONTVALE ELEM SCHOOL (06),739.0
Jo Jorgensen,3.0,Bedford County,0.46%,Libertarian,601 - MONTVALE ELEM SCHOOL (06),4.0
Write In,2147483647.0,Bedford County,0.46%,Write-In,601 - MONTVALE ELEM SCHOOL (06),4.0
Joseph R. Biden,1.0,Bedford County,10.04%,Democratic,602 - SHADY GROVE FIRE DEPARTMENT (05),101.0
Donald J. Trump,2.0,Bedford County,88.37%,Republican,602 - SHADY GROVE FIRE DEPARTMENT (05),889.0
Jo Jorgensen,3.0,Bedford County,1.49%,Libertarian,602 - SHADY GROVE FIRE DEPARTMENT (05),15.0
Write In,2147483647.0,Bedford County,0.10%,Write-In,602 - SHADY GROVE FIRE DEPARTMENT (05),1.0
Joseph R. Biden,1.0,Bedford County,7.52%,Democratic,603 - THAXTON BAPTIST CHURCH #1 (05),17.0
Donald J. Trump,2.0,Bedford County,90.71%,Republican,603 - THAXTON BAPTIST CHURCH #1 (05),205.0
Jo Jorgensen,3.0,Bedford County,1.77%,Libertarian,603 - THAXTON BAPTIST CHURCH #1 (05),4.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,603 - THAXTON BAPTIST CHURCH #1 (05),0.0
Joseph R. Biden,1.0,Bedford County,17.42%,Democratic,604 - BEDFORD WELCOME CENTER (05),146.0
Donald J. Trump,2.0,Bedford County,80.19%,Republican,604 - BEDFORD WELCOME CENTER (05),672.0
Jo Jorgensen,3.0,Bedford County,2.39%,Libertarian,604 - BEDFORD WELCOME CENTER (05),20.0
Write In,2147483647.0,Bedford County,0.00%,Write-In,604 - BEDFORD WELCOME CENTER (05),0.0
Joseph R. Biden,1.0,Bedford County,10.70%,Democratic,701 - GOODE VOL RESCUE SQUAD (05),109.0
Donald J. Trump,2.0,Bedford County,87.83%,Republican,701 - GOODE VOL RESCUE SQUAD (05),895.0
Jo Jorgensen,3.0,Bedford County,1.18%,Libertarian,701 - GOODE VOL RESCUE SQUAD (05),12.0
Write In,2147483647.0,Bedford County,0.29%,Write-In,701 - GOODE VOL RESCUE SQUAD (05),3.0
Joseph R. Biden,1.0,Bedford County,11.94%,Democratic,702 - LIBERTY HIGH SCHOOL (05),56.0
Donald J. Trump,2.0,Bedford County,86.99%,Republican,702 - LIBERTY HIGH SCHOOL (05),408.0
Jo Jorgensen,3.0,Bedford County,0.43%,Libertarian,702 - LIBERTY HIGH SCHOOL (05),2.0
Write In,2147483647.0,Bedford County,0.64%,Write-In,702 - LIBERTY HIGH SCHOOL (05),3.0
Joseph R. Biden,1.0,Bedford County,11.31%,Democratic,703 - THAXTON BAPTIST CHURCH #2 (05),51.0
Donald J. Trump,2.0,Bedford County,87.36%,Republican,703 - THAXTON BAPTIST CHURCH #2 (05),394.0
Jo Jorgensen,3.0,Bedford County,0.89%,Libertarian,703 - THAXTON BAPTIST CHURCH #2 (05),4.0
Write In,2147483647.0,Bedford County,0.44%,Write-In,703 - THAXTON BAPTIST CHURCH #2 (05),2.0
Joseph R. Biden,1.0,Bedford County,25.70%,Democratic,704 - BEDFORD CENTRAL LIBRARY (05),212.0
Donald J. Trump,2.0,Bedford County,71.03%,Republican,704 - BEDFORD CENTRAL LIBRARY (05),586.0
Jo Jorgensen,3.0,Bedford County,2.91%,Libertarian,704 - BEDFORD CENTRAL LIBRARY (05),24.0
Write In,2147483647.0,Bedford County,0.36%,Write-In,704 - BEDFORD CENTRAL LIBRARY (05),3.0
Joseph R. Biden,1.0,Bland County,23.93%,Democratic,# AB - Central Absentee Precinct (09),313.0
Donald J. Trump,2.0,Bland County,74.62%,Republican,# AB - Central Absentee Precinct (09),976.0
Jo Jorgensen,3.0,Bland County,1.38%,Libertarian,# AB - Central Absentee Precinct (09),18.0
Write In,2147483647.0,Bland County,0.08%,Write-In,# AB - Central Absentee Precinct (09),1.0
Joseph R. Biden,1.0,Bland County,33.33%,Democratic,## Provisional (09),1.0
Donald J. Trump,2.0,Bland County,66.67%,Republican,## Provisional (09),2.0
Jo Jorgensen,3.0,Bland County,0.00%,Libertarian,## Provisional (09),0.0
Write In,2147483647.0,Bland County,0.00%,Write-In,## Provisional (09),0.0
Joseph R. Biden,1.0,Bland County,11.28%,Democratic,101 - BASTIAN (09),30.0
Donald J. Trump,2.0,Bland County,87.22%,Republican,101 - BASTIAN (09),232.0
Jo Jorgensen,3.0,Bland County,1.13%,Libertarian,101 - BASTIAN (09),3.0
Write In,2147483647.0,Bland County,0.38%,Write-In,101 - BASTIAN (09),1.0
Joseph R. Biden,1.0,Bland County,11.00%,Democratic,102 - CERES (09),34.0
Donald J. Trump,2.0,Bland County,87.38%,Republican,102 - CERES (09),270.0
Jo Jorgensen,3.0,Bland County,1.62%,Libertarian,102 - CERES (09),5.0
Write In,2147483647.0,Bland County,0.00%,Write-In,102 - CERES (09),0.0
Joseph R. Biden,1.0,Bland County,13.51%,Democratic,201 - DAVIS (09),15.0
Donald J. Trump,2.0,Bland County,86.49%,Republican,201 - DAVIS (09),96.0
Jo Jorgensen,3.0,Bland County,0.00%,Libertarian,201 - DAVIS (09),0.0
Write In,2147483647.0,Bland County,0.00%,Write-In,201 - DAVIS (09),0.0
Joseph R. Biden,1.0,Bland County,9.51%,Democratic,202 - SEDDON (09),41.0
Donald J. Trump,2.0,Bland County,88.63%,Republican,202 - SEDDON (09),382.0
Jo Jorgensen,3.0,Bland County,1.86%,Libertarian,202 - SEDDON (09),8.0
Write In,2147483647.0,Bland County,0.00%,Write-In,202 - SEDDON (09),0.0
Joseph R. Biden,1.0,Bland County,7.44%,Democratic,301 - HOLLYBROOK (09),25.0
Donald J. Trump,2.0,Bland County,90.77%,Republican,301 - HOLLYBROOK (09),305.0
Jo Jorgensen,3.0,Bland County,1.19%,Libertarian,301 - HOLLYBROOK (09),4.0
Write In,2147483647.0,Bland County,0.60%,Write-In,301 - HOLLYBROOK (09),2.0
Joseph R. Biden,1.0,Bland County,11.18%,Democratic,302 - MECHANICSBURG (09),18.0
Donald J. Trump,2.0,Bland County,88.82%,Republican,302 - MECHANICSBURG (09),143.0
Jo Jorgensen,3.0,Bland County,0.00%,Libertarian,302 - MECHANICSBURG (09),0.0
Write In,2147483647.0,Bland County,0.00%,Write-In,302 - MECHANICSBURG (09),0.0
Joseph R. Biden,1.0,Bland County,9.93%,Democratic,401 - ROCKY GAP (09),55.0
Donald J. Trump,2.0,Bland County,89.71%,Republican,401 - ROCKY GAP (09),497.0
Jo Jorgensen,3.0,Bland County,0.36%,Libertarian,401 - ROCKY GAP (09),2.0
Write In,2147483647.0,Bland County,0.00%,Write-In,401 - ROCKY GAP (09),0.0
Joseph R. Biden,1.0,Botetourt County,36.49%,Democratic,# AB - Central Absentee Precinct (06),4231.0
Donald J. Trump,2.0,Botetourt County,62.20%,Republican,# AB - Central Absentee Precinct (06),7212.0
Jo Jorgensen,3.0,Botetourt County,1.03%,Libertarian,# AB - Central Absentee Precinct (06),120.0
Write In,2147483647.0,Botetourt County,0.28%,Write-In,# AB - Central Absentee Precinct (06),32.0
Joseph R. Biden,1.0,Botetourt County,53.85%,Democratic,## Provisional (06),14.0
Donald J. Trump,2.0,Botetourt County,46.15%,Republican,## Provisional (06),12.0
Jo Jorgensen,3.0,Botetourt County,0.00%,Libertarian,## Provisional (06),0.0
Write In,2147483647.0,Botetourt County,0.00%,Write-In,## Provisional (06),0.0
Joseph R. Biden,1.0,Botetourt County,20.31%,Democratic,101 - DALEVILLE (06),183.0
Donald J. Trump,2.0,Botetourt County,77.36%,Republican,101 - DALEVILLE (06),697.0
Jo Jorgensen,3.0,Botetourt County,2.00%,Libertarian,101 - DALEVILLE (06),18.0
Write In,2147483647.0,Botetourt County,0.33%,Write-In,101 - DALEVILLE (06),3.0
Joseph R. Biden,1.0,Botetourt County,12.44%,Democratic,102 - GREENFIELD (06),123.0
Donald J. Trump,2.0,Botetourt County,85.24%,Republican,102 - GREENFIELD (06),843.0
Jo Jorgensen,3.0,Botetourt County,1.52%,Libertarian,102 - GREENFIELD (06),15.0
Write In,2147483647.0,Botetourt County,0.81%,Write-In,102 - GREENFIELD (06),8.0
Joseph R. Biden,1.0,Botetourt County,15.50%,Democratic,201 - BLUE RIDGE (06),173.0
Donald J. Trump,2.0,Botetourt County,82.53%,Republican,201 - BLUE RIDGE (06),921.0
Jo Jorgensen,3.0,Botetourt County,1.97%,Libertarian,201 - BLUE RIDGE (06),22.0
Write In,2147483647.0,Botetourt County,0.00%,Write-In,201 - BLUE RIDGE (06),0.0
Joseph R. Biden,1.0,Botetourt County,17.45%,Democratic,202 - RAINBOW FOREST (06),185.0
Donald J. Trump,2.0,Botetourt County,81.13%,Republican,202 - RAINBOW FOREST (06),860.0
Jo Jorgensen,3.0,Botetourt County,1.42%,Libertarian,202 - RAINBOW FOREST (06),15.0
Write In,2147483647.0,Botetourt County,0.00%,Write-In,202 - RAINBOW FOREST (06),0.0
Joseph R. Biden,1.0,Botetourt County,15.82%,Democratic,301 - BUCHANAN (06),172.0
Donald J. Trump,2.0,Botetourt County,82.61%,Republican,301 - BUCHANAN (06),898.0
Jo Jorgensen,3.0,Botetourt County,1.29%,Libertarian,301 - BUCHANAN (06),14.0
Write In,2147483647.0,Botetourt County,0.28%,Write-In,301 - BUCHANAN (06),3.0
Joseph R. Biden,1.0,Botetourt County,16.31%,Democratic,302 - MILL CREEK (06),158.0
Donald J. Trump,2.0,Botetourt County,81.94%,Republican,302 - MILL CREEK (06),794.0
Jo Jorgensen,3.0,Botetourt County,1.65%,Libertarian,302 - MILL CREEK (06),16.0
Write In,2147483647.0,Botetourt County,0.10%,Write-In,302 - MILL CREEK (06),1.0
Joseph R. Biden,1.0,Botetourt County,12.25%,Democratic,403 - EAGLE ROCK (06),98.0
Donald J. Trump,2.0,Botetourt County,86.63%,Republican,403 - EAGLE ROCK (06),693.0
Jo Jorgensen,3.0,Botetourt County,1.13%,Libertarian,403 - EAGLE ROCK (06),9.0
Write In,2147483647.0,Botetourt County,0.00%,Write-In,403 - EAGLE ROCK (06),0.0
Joseph R. Biden,1.0,Botetourt County,10.60%,Democratic,406 - FINCASTLE (06),105.0
Donald J. Trump,2.0,Botetourt County,87.59%,Republican,406 - FINCASTLE (06),868.0
Jo Jorgensen,3.0,Botetourt County,1.51%,Libertarian,406 - FINCASTLE (06),15.0
Write In,2147483647.0,Botetourt County,0.30%,Write-In,406 - FINCASTLE (06),3.0
Joseph R. Biden,1.0,Botetourt County,14.20%,Democratic,501 - TROUTVILLE (06),90.0
Donald J. Trump,2.0,Botetourt County,84.23%,Republican,501 - TROUTVILLE (06),534.0
Jo Jorgensen,3.0,Botetourt County,0.95%,Libertarian,501 - TROUTVILLE (06),6.0
Write In,2147483647.0,Botetourt County,0.63%,Write-In,501 - TROUTVILLE (06),4.0
Joseph R. Biden,1.0,Botetourt County,17.65%,Democratic,502 - CLOVERDALE (06),168.0
Donald J. Trump,2.0,Botetourt County,80.57%,Republican,502 - CLOVERDALE (06),767.0
Jo Jorgensen,3.0,Botetourt County,1.47%,Libertarian,502 - CLOVERDALE (06),14.0
Write In,2147483647.0,Botetourt County,0.32%,Write-In,502 - CLOVERDALE (06),3.0
Joseph R. Biden,1.0,Brunswick County,66.99%,Democratic,# AB - Central Absentee Precinct (05),2807.0
